Id,Name,Ff_time,Prize_money,Correct_answers,Lost_Question,Lost_money,Lost_how,Ata_used,Ff_used,Pp_used,Ata_question,Ata_perc,Ata_correct,Ff_question,Ff_correct,Pp_question,Pp_correct,Phoned_who,Bad_question,Bad_number
182,Joe Kelleher,4.75,500000,14,15,0,walked,1,1,1,6,89,1,10,1,10,1,friend,0,0
183,Richard Rosner,4.98,1000,8,9,7000,wrong,0,0,1,0,0,2,0,2,9,0,friend,0,0
184,Kati Knudsen,3.98,32000,13,14,218000,wrong,1,1,1,5,68,1,7,1,8,1,friend,0,0
185,John Rainard,6.2,125000,12,13,0,walked,1,1,1,10,53,1,12,1,11,1,friend,0,0
186,Steven Ponall,4.14,8000,8,9,0,walked,1,1,1,6,72,1,8,1,7,1,friend,0,0
187,Paul McCallon,4.89,125000,12,13,0,walked,1,1,1,9,71,1,10,1,7,1,mother,0,0
188,David Wright,4.1,32000,10,11,0,wrong,1,1,1,7,65,1,11,0,10,1,physician,0,0
189,Phil Gibbons,8.24,500000,14,15,0,walked,1,1,1,6,51,1,7,1,8,1,friend,0,0
190,Nick Meyer,0,32000,13,14,218000,wrong,1,1,1,9,41,0,9,1,13,1,friend,0,0
191,Christopher Ruth,6.79,250000,13,14,0,walked,1,1,1,9,62,1,11,1,11,0,uncle,0,0
192,Robert Kvinnesland,5.08,1000,6,7,1000,wrong,1,0,1,6,41,1,0,2,6,1,friend,0,0
193,Brian Clouse,0,32000,11,12,32000,wrong,1,0,1,8,62,1,0,2,6,1,friend,0,0
194,Stefany Needel,5.15,32000,11,12,32000,wrong,1,1,1,8,58,1,12,0,11,1,contestant,0,0
195,Marge Edmiston,9.96,64000,11,12,0,walked,1,1,1,11,76,1,12,0,7,1,brother,0,0
196,Paul Young,6.15,250000,13,14,0,walked,1,1,1,9,36,0,10,1,9,1,son,0,0
197,Tom Wheltle,11.79,125000,12,13,0,walked,1,1,1,7,57,1,7,1,12,1,politician,0,0
198,Bryan Duray,4.46,64000,11,12,0,walked,1,1,1,3,88,1,9,1,9,1,friend,0,0
199,Stephen Healey,5.36,16000,9,10,0,walked,1,1,1,8,47,0,9,1,9,1,friend,0,0
200,Jay Snyder,6.29,125000,12,13,0,walked,1,1,1,10,63,1,12,1,11,1,friend,0,0
201,Marie Tozier,7.78,8000,8,9,0,walked,1,1,1,8,67,1,5,1,5,0,uncle,0,0
202,Chris Bertschmann,4.42,1000,5,6,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
203,David Bates,3.83,1000,9,10,15000,wrong,1,1,1,5,72,1,9,1,10,0,friend,0,0
204,Joel Foss,5.58,32000,10,11,0,wrong,1,1,1,9,46,1,10,1,9,1,friend,0,0
205,Tony Frausto,6.36,125000,12,13,0,walked,1,1,1,11,47,1,11,1,8,1,friend,0,0
206,Alec MacKenzie,4.01,32000,11,12,32000,wrong,1,1,1,7,77,1,10,1,11,0,friend,0,0
207,Eric Buske,5.66,250000,13,14,0,walked,1,1,1,9,58,1,13,1,11,1,friend,0,0
208,Randy Everson,6.71,32000,11,12,32000,wrong,1,0,0,7,52,1,0,2,0,2,na,0,0
209,Jennifer Nijak,6.56,8000,8,9,0,walked,1,1,1,3,95,1,8,1,8,0,friend,0,0
210,Paul Ivanovskis,4.42,1000,6,7,1000,wrong,1,1,0,7,39,0,7,0,0,2,na,0,0
211,Rich Mahady,4.88,64000,11,12,0,walked,1,1,1,11,38,0,10,1,11,0,friend,0,0
212,Cynthia Lew,5.49,32000,10,11,0,wrong,0,1,0,0,0,2,11,0,0,2,na,0,0
213,John La Barca,4.7,8000,8,9,0,walked,1,1,1,8,58,1,9,0,9,0,employee,0,0
214,Greg Ellis,4.53,1000,7,8,3000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
215,Dan Nevarez,6.63,125000,12,13,0,walked,1,1,1,6,87,1,10,1,8,1,teacher,0,0
216,Christy Flynn,5.16,1000,8,9,7000,wrong,1,1,0,7,87,0,7,1,0,2,na,0,0
217,Stan Flouride,6.3,32000,12,13,93000,wrong,1,1,0,8,58,1,10,1,0,2,na,0,0
218,Fred Geldon,5.7,32000,10,11,0,wrong,1,1,0,10,43,0,10,1,0,2,na,0,0
219,Dave Colquitt,10.19,250000,13,14,0,walked,1,1,1,10,50,1,13,1,12,1,friend,0,0
220,"Reece O""Dell",5.47,250000,13,14,0,walked,1,1,1,12,31,0,12,1,13,1,teacher,0,0
221,Heather Holloway,6.97,32000,10,11,0,wrong,1,1,0,9,73,1,11,0,0,2,na,0,0
222,Tom Prescott,6.92,1000,8,9,7000,wrong,1,1,0,5,93,1,9,0,0,2,na ,0,0
223,Ian Ith,4.52,64000,11,12,0,walked,1,1,1,6,87,1,8,1,10,1,friend,0,0
224,Pat Thompson,6.64,500000,14,15,0,walked,1,1,1,7,64,1,9,1,12,1,friend,0,0
225,Alec Baldwin,7.42,250000,13,14,0,walked,1,1,1,11,84,1,13,1,13,0,wife,0,0
226,Jon Stewart,7.46,125000,12,13,0,walked,1,1,1,12,59,1,13,0,13,0,friend,0,0
227,Drew Carey,5.18,32000,11,12,32000,wrong,0,1,1,0,0,2,12,0,11,1,friend,0,0
228,Charlie Sheen,6.18,64000,11,12,0,walked,1,1,1,10,68,1,11,1,11,1,celebrity,0,0
229,Jon Lovitz,6.64,32000,11,12,32000,wrong,1,1,1,12,40,0,12,0,12,0,friend,0,0
230,Sean Combs,7.57,125000,12,13,0,walked,1,1,1,11,77,1,12,1,13,0,friend,0,0
231,Tyra Banks,8.93,125000,12,13,0,walked,1,1,1,11,38,0,12,1,11,1,brother,0,0
